blue,1,2,365,557,364,557
blue,1,2,364,557,363,557
blue,1,2,363,557,362,557
blue,1,2,362,557,360,557
blue,1,2,360,557,358,557
blue,1,2,358,557,357,556
blue,1,2,357,556,354,556
blue,1,2,354,556,352,554
blue,1,2,352,554,349,554
blue,1,2,349,554,346,552
blue,1,2,346,552,343,550
blue,1,2,343,550,338,548
blue,1,2,338,548,334,546
blue,1,2,334,546,327,542
blue,1,2,327,542,321,539
blue,1,2,321,539,315,536
blue,1,2,315,536,309,533
blue,1,2,309,533,303,530
blue,1,2,303,530,297,527
blue,1,2,297,527,291,523
blue,1,2,291,523,286,520
blue,1,2,286,520,282,516
blue,1,2,282,516,275,512
blue,1,2,275,512,269,507
blue,1,2,269,507,263,502
blue,1,2,263,502,257,497
blue,1,2,257,497,251,492
blue,1,2,251,492,244,485
blue,1,2,244,485,236,480
blue,1,2,236,480,229,474
blue,1,2,229,474,221,467
blue,1,2,221,467,214,461
blue,1,2,214,461,206,455
blue,1,2,206,455,199,446
blue,1,2,199,446,193,440
blue,1,2,193,440,186,434
blue,1,2,186,434,180,426
blue,1,2,180,426,174,419
blue,1,2,174,419,167,411
blue,1,2,167,411,161,405
blue,1,2,161,405,155,398
blue,1,2,155,398,150,389
blue,1,2,150,389,144,382
blue,1,2,144,382,138,373
blue,1,2,138,373,132,364
blue,1,2,132,364,126,356
blue,1,2,126,356,120,348
blue,1,2,120,348,115,341
blue,1,2,115,341,110,334
blue,1,2,110,334,106,326
blue,1,2,106,326,102,318
blue,1,2,102,318,97,309
blue,1,2,97,309,94,301
blue,1,2,94,301,91,290
blue,1,2,91,290,89,282
blue,1,2,89,282,87,273
blue,1,2,87,273,86,265
blue,1,2,86,265,86,257
blue,1,2,86,257,86,249
blue,1,2,86,249,86,243
blue,1,2,86,243,86,236
blue,1,2,86,236,86,229
blue,1,2,86,229,87,222
blue,1,2,87,222,89,215
blue,1,2,89,215,90,208
blue,1,2,90,208,92,203
blue,1,2,92,203,93,198
